window_id,scenario_run_id,actor_id,window_start_relative_sec,window_end_relative_sec,feature_action_switch_count,feature_actor_action_rarity_bucket,feature_actor_admin_context_flag,feature_alert_modify_count,feature_audit_config_change_seen_count,feature_broad_to_narrow_count,feature_capability_allowed_change_count,feature_capability_denied_count,feature_change_to_requery_min_gap_bucket,feature_config_change_count,feature_dashboard_modify_count,feature_detection_disable_count,feature_detection_throttle_or_narrow_count,feature_disk_change_gap_count,feature_distinct_object_type_count,feature_distinct_surface_count,feature_downstream_contradiction_count,feature_downstream_mismatch_after_visibility_change_flag,feature_downstream_omission_count,feature_enabled_to_disabled_count,feature_event_count,feature_evidence_target_overlap_count,feature_evidence_then_report_omission_flag,feature_evidence_to_macro_filter_sequence_flag,feature_evidence_to_risk_tuning_sequence_flag,feature_global_visibility_object_write_count,feature_high_criticality_object_touch_count,feature_high_criticality_object_write_count,feature_high_risk_combo_count,feature_intermediate_finding_review_count,feature_large_change_count,feature_lookup_filter_change_count,feature_macro_filter_change_count,feature_modify_then_requery_flag,feature_notable_hidden_after_creation_count,feature_notable_not_created_count,feature_object_type_actor_rarity_bucket,feature_permission_denied_count,feature_permission_probe_before_change_flag,feature_probe_denied_then_report_flag,feature_protected_evidence_agreement_count,feature_protected_evidence_seen_count,feature_read_modify_report_sequence_flag,feature_report_write_count,feature_requery_after_change_count,feature_risk_context_review_count,feature_risk_score_tuning_count,feature_saved_search_modify_count,feature_search_count,feature_search_modify_report_sequence_flag,feature_search_then_modify_flag,feature_search_to_change_min_gap_bucket,feature_state_changed_after_evidence_access_flag,feature_suppression_after_creation_count,feature_suppression_or_throttle_present,feature_suppression_vs_throttle_disambiguated_flag,feature_throttle_before_creation_count,feature_visibility_decrease_count,feature_visibility_object_read_count,feature_visibility_object_write_count,label_binary,label_family,label_source,split_id,reset_id,window_type,label_confidence,outcome,source_batch_id,source_input_path_count
window_900_000024,run_96259d5ff1e8a920,actor_003,0,900,3,2,1,1,1,1,1,0,0,1,0,0,1,0,3,4,0,1,1,0,4,3,1,0,1,1,3,1,1,2,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,evidence_laundering,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000025,run_9948bebc3349c2d9,actor_003,0,900,3,2,1,1,1,1,1,0,0,1,0,0,1,0,3,4,0,1,1,0,4,3,1,0,1,1,3,1,1,2,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000026,run_9a49afe8ca1ea15e,actor_002,0,900,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,suspicious_recon,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000027,run_9aaea7b35400a96f,actor_001,0,900,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,benign_investigation,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000028,run_9d909f00776fc647,actor_001,0,900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,report_alibi_generation,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000029,run_a130478b34c24fd8,actor_001,0,900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,input_or_token_tamper,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000030,run_ac5c2f863948cd61,actor_003,0,900,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,alert_suppression,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000031,run_af80ea5b72b7f9b7,actor_001,0,900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000032,run_b0b2974015d28a71,actor_001,0,900,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,evidence_laundering,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000033,run_b6efa219560aa02e,actor_001,0,900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,permission_probe,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000034,run_c227cae79b1ef6ab,actor_003,0,900,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000035,run_c59001c5006ccc8f,actor_003,0,900,3,2,1,1,1,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,4,3,0,0,0,1,4,1,1,0,0,0,0,1,2,0,2,0,0,0,2,2,0,0,1,1,0,0,2,0,1,1,1,1,1,1,0,1,1,1,1,alert_suppression,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000036,run_d8515f53b9611373,actor_001,0,900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,input_or_token_tamper,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000037,run_e87278fdd89af225,actor_002,0,900,2,2,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000038,run_ecc364f72041ed8c,actor_001,0,900,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,evidence_laundering,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000039,run_edd1ccc7e647bcfc,actor_001,0,900,1,2,1,0,1,1,1,0,0,1,0,0,1,0,2,2,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,benign_investigation,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000040,run_f2e5a328d78edd00,actor_001,0,900,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000041,run_f5527cad373b2538,actor_003,0,900,3,2,1,1,1,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,4,3,0,0,0,1,4,1,1,0,0,0,0,1,1,0,2,0,0,0,2,2,0,0,0,1,0,0,2,0,1,1,1,1,1,1,0,1,1,1,1,alert_suppression,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
window_900_000042,run_f9eb2568644cc9ae,actor_001,0,900,2,2,1,0,1,1,1,0,0,1,0,0,1,0,2,2,0,0,0,0,4,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,failed_tamper_attempt,post_run_verification,unassigned,reset_000,actor_15m,1.0,background_unlabeled,small_k3_harness_live42_20260526T180921Z,42
